MPI BenchMarking, For Shared mode, (ptile=N):
p= 4, maxh= 356, maxn= 1212 r= 460.412 Mflop/s, g= 1.4, l= 1995.7
p= 4, maxh= 356, maxn= 1312 r= 456.379 Mflop/s, g= 1.8, l= 2119.3
p= 4, maxh= 356, maxn= 1412 r= 440.277 Mflop/s, g= 0.2, l= 2940.5
p= 4, maxh= 456, maxn= 512 r= 470.154 Mflop/s, g= 1.3, l= 1876.6
p= 4, maxh= 456, maxn= 612 r= 157.996 Mflop/s, g= 0.5, l= 697.1
p= 4, maxh= 456, maxn= 712 r= 471.794 Mflop/s, g= 1.2, l= 1959.6
p= 4, maxh= 456, maxn= 812 r= 247.356 Mflop/s, g= 0.8, l= 1462.8
p= 4, maxh= 456, maxn= 912 r= 250.040 Mflop/s, g= -0.2, l= 863.8
p= 4, maxh= 456, maxn= 1012 r= 357.530 Mflop/s, g= 0.8, l= 1641.0
p= 4, maxh= 456, maxn= 1112 r= 507.404 Mflop/s, g= -0.1, l= 3307.6
p= 4, maxh= 456, maxn= 1212 r= 212.322 Mflop/s, g= 0.7, l= 868.6
p= 4, maxh= 456, maxn= 1312 r= 472.027 Mflop/s, g= 1.2, l= 1965.7
p= 4, maxh= 456, maxn= 1412 r= 502.131 Mflop/s, g= 1.7, l= 2569.1
p= 4, maxh= 556, maxn= 512 r= 242.058 Mflop/s, g= 2.4, l= 2483.6
p= 4, maxh= 556, maxn= 612 r= 211.737 Mflop/s, g= 2.5, l= 1852.5
p= 4, maxh= 556, maxn= 712 r= 224.168 Mflop/s, g= 0.9, l= 2274.3
p= 4, maxh= 556, maxn= 812 r= 331.329 Mflop/s, g= 2.0, l= 3246.2
p= 4, maxh= 556, maxn= 912 r= 500.729 Mflop/s, g= 2.2, l= 3440.0
p= 4, maxh= 556, maxn= 1012 r= 511.724 Mflop/s, g= 3.0, l= 3480.7
p= 4, maxh= 556, maxn= 1112 r= 409.650 Mflop/s, g= 1.7, l= 4089.4
p= 4, maxh= 556, maxn= 1212 r= 222.567 Mflop/s, g= 0.5, l= 1023.2
